"행정구역","2021년_계_총인구수","2021년_계_연령구간인구수","2021년_계_0~9세","2021년_계_10~19세","2021년_계_20~29세","2021년_계_30~39세","2021년_계_40~49세","2021년_계_50~59세","2021년_계_60~69세","2021년_계_70~79세","2021년_계_80~89세","2021년_계_90~99세","2021년_계_100세 이상"
"서울특별시  (1100000000)","9,509,458","9,509,458","583,683","756,136","1,422,277","1,439,279","1,480,780","1,507,194","1,285,922","695,800","295,009","41,735","1,643"
"서울특별시 종로구 (1111000000)","144,683","144,683","6,984","10,381","22,802","19,470","20,969","24,957","20,352","11,637","6,149","950","32"
"서울특별시 중구 (1114000000)","122,499","122,499","6,299","6,474","18,309","19,886","17,379","20,043","18,083","10,221","4,967","812","26"
"서울특별시 용산구 (1117000000)","222,953","222,953","12,653","14,692","32,778","37,719","33,781","36,122","29,169","15,960","8,591","1,417","71"
"서울특별시 성동구 (1120000000)","285,990","285,990","19,222","18,903","43,463","46,815","43,346","46,154","37,768","20,111","9,002","1,158","48"
"서울특별시 광진구 (1121500000)","339,996","339,996","17,744","24,774","61,616","54,715","50,470","53,801","44,152","21,933","9,495","1,246","50"
"서울특별시 동대문구 (1123000000)","337,400","337,400","19,590","22,767","56,271","49,023","49,002","52,243","47,532","27,290","12,143","1,470","69"
"서울특별시 중랑구 (1126000000)","387,350","387,350","21,285","25,432","54,128","57,025","55,710","67,518","60,705","31,176","12,702","1,602","67"
"서울특별시 성북구 (1129000000)","430,528","430,528","27,326","35,986","65,580","58,415","67,446","69,280","56,803","32,464","15,136","2,027","65"
"서울특별시 강북구 (1130500000)","299,182","299,182","14,148","20,796","41,001","37,120","43,923","51,700","47,172","29,304","12,507","1,466","45"
"서울특별시 도봉구 (1132000000)","317,366","317,366","17,044","24,311","41,496","39,246","46,156","56,006","51,366","27,483","12,478","1,691","89"
"서울특별시 노원구 (1135000000)","510,956","510,956","30,658","50,312","69,956","63,138","81,770","87,029","70,747","37,296","17,393","2,571","86"
"서울특별시 은평구 (1138000000)","473,307","473,307","27,655","37,208","65,282","67,027","74,103","77,244","67,015","38,521","17,089","2,091","72"
"서울특별시 서대문구 (1141000000)","304,819","304,819","18,881","22,493","48,896","44,235","45,250","48,640","39,700","23,288","11,802","1,561","73"
"서울특별시 마포구 (1144000000)","368,905","368,905","23,661","27,705","61,353","63,597","59,819","54,962","41,205","23,378","11,521","1,632","72"
"서울특별시 양천구 (1147000000)","447,302","447,302","29,534","49,472","57,388","55,657","76,508","76,170","60,280","29,215","11,300","1,721","57"
"서울특별시 강서구 (1150000000)","574,315","574,315","36,646","43,517","85,652","97,831","89,266","84,408","79,382","39,405","15,603","2,523","82"
"서울특별시 구로구 (1153000000)","396,754","396,754","25,967","29,191","53,703","61,071","61,183","62,294","57,489","31,972","12,288","1,554","42"
"서울특별시 금천구 (1154500000)","230,811","230,811","11,676","13,955","37,202","36,570","31,638","39,348","34,564","17,974","6,976","878","30"
"서울특별시 영등포구 (1156000000)","376,837","376,837","24,756","23,640","58,693","69,403","55,441","56,262","48,250","26,867","11,950","1,522","53"
"서울특별시 동작구 (1159000000)","385,483","385,483","22,992","26,967","64,882","60,826","57,207","58,073","50,478","29,582","12,617","1,775","84"
"서울특별시 관악구 (1162000000)","485,699","485,699","19,843","27,057","108,154","85,556","65,543","67,025","59,970","36,640","14,186","1,664","61"
"서울특별시 서초구 (1165000000)","412,279","412,279","31,699","44,477","52,009","59,545","75,078","62,579","48,095","26,738","10,219","1,747","93"
"서울특별시 강남구 (1168000000)","533,042","533,042","34,726","59,141","70,774","77,662","97,729","81,956","61,527","34,567","12,600","2,254","106"
"서울특별시 송파구 (1171000000)","658,338","658,338","48,373","57,635","90,422","106,630","107,209","101,614","87,536","41,260","15,002","2,567","90"
"서울특별시 강동구 (1174000000)","462,664","462,664","34,321","38,850","60,467","71,097","74,854","71,766","66,582","31,518","11,293","1,836","80"
