"행정구역","2016년_계_총인구수","2016년_계_연령구간인구수","2016년_계_0~9세","2016년_계_10~19세","2016년_계_20~29세","2016년_계_30~39세","2016년_계_40~49세","2016년_계_50~59세","2016년_계_60~69세","2016년_계_70~79세","2016년_계_80~89세","2016년_계_90~99세","2016년_계_100세 이상","2017년_계_총인구수","2017년_계_연령구간인구수","2017년_계_0~9세","2017년_계_10~19세","2017년_계_20~29세","2017년_계_30~39세","2017년_계_40~49세","2017년_계_50~59세","2017년_계_60~69세","2017년_계_70~79세","2017년_계_80~89세","2017년_계_90~99세","2017년_계_100세 이상","2018년_계_총인구수","2018년_계_연령구간인구수","2018년_계_0~9세","2018년_계_10~19세","2018년_계_20~29세","2018년_계_30~39세","2018년_계_40~49세","2018년_계_50~59세","2018년_계_60~69세","2018년_계_70~79세","2018년_계_80~89세","2018년_계_90~99세","2018년_계_100세 이상","2019년_계_총인구수","2019년_계_연령구간인구수","2019년_계_0~9세","2019년_계_10~19세","2019년_계_20~29세","2019년_계_30~39세","2019년_계_40~49세","2019년_계_50~59세","2019년_계_60~69세","2019년_계_70~79세","2019년_계_80~89세","2019년_계_90~99세","2019년_계_100세 이상","2020년_계_총인구수","2020년_계_연령구간인구수","2020년_계_0~9세","2020년_계_10~19세","2020년_계_20~29세","2020년_계_30~39세","2020년_계_40~49세","2020년_계_50~59세","2020년_계_60~69세","2020년_계_70~79세","2020년_계_80~89세","2020년_계_90~99세","2020년_계_100세 이상","2021년_계_총인구수","2021년_계_연령구간인구수","2021년_계_0~9세","2021년_계_10~19세","2021년_계_20~29세","2021년_계_30~39세","2021년_계_40~49세","2021년_계_50~59세","2021년_계_60~69세","2021년_계_70~79세","2021년_계_80~89세","2021년_계_90~99세","2021년_계_100세 이상"
"서울특별시 도봉구 (1132000000)","348,220","348,220","25,106","33,690","47,217","48,916","57,768","60,650","41,226","23,824","8,525","1,169","129","344,166","344,166","23,545","31,653","47,011","46,898","55,985","59,969","43,254","25,211","9,208","1,291","141","339,413","339,413","22,184","29,699","46,095","45,532","53,130","59,615","45,165","26,440","9,953","1,454","146","333,362","333,362","20,665","27,731","44,922","43,376","51,071","58,555","47,357","27,122","10,845","1,559","159","325,257","325,257","18,775","25,627","43,412","40,993","48,535","57,020","49,740","27,706","11,603","1,671","175","317,366","317,366","17,044","24,311","41,496","39,246","46,156","56,006","51,366","27,483","12,478","1,691","89"
"서울특별시 노원구 (1135000000)","567,581","567,581","44,051","67,824","77,584","79,345","102,368","91,272","57,630","32,737","12,707","1,836","227","554,403","554,403","41,235","63,992","76,738","74,678","98,387","89,761","59,742","34,145","13,563","1,924","238","543,752","543,752","38,147","60,444","76,371","71,376","93,598","89,522","62,273","35,303","14,403","2,074","241","532,905","532,905","35,765","56,848","74,581","67,330","89,904","88,956","64,980","36,542","15,507","2,240","252","523,037","523,037","33,182","53,235","73,182","64,740","86,240","87,828","67,804","37,536","16,494","2,508","288","510,956","510,956","30,658","50,312","69,956","63,138","81,770","87,029","70,747","37,296","17,393","2,571","86"
"서울특별시 은평구 (1138000000)","491,476","491,476","37,685","46,957","64,921","76,274","84,489","78,187","55,532","34,225","11,321","1,524","361","486,794","486,794","35,436","44,918","65,207","73,213","83,208","77,630","56,931","35,892","12,309","1,681","369","483,197","483,197","33,399","42,905","65,317","71,862","80,095","77,972","58,799","37,276","13,368","1,820","384","480,032","480,032","31,683","40,707","65,924","69,727","78,223","77,441","61,152","38,190","14,595","1,993","397","479,835","479,835","29,704","38,676","67,058","68,502","76,628","77,274","64,438","39,121","15,897","2,112","425","473,307","473,307","27,655","37,208","65,282","67,027","74,103","77,244","67,015","38,521","17,089","2,091","72"
"서울특별시 서대문구 (1141000000)","314,194","314,194","22,467","28,070","47,814","47,523","52,404","49,351","33,807","23,027","8,336","1,180","215","312,800","312,800","21,803","26,874","48,152","46,246","51,377","49,467","34,562","23,815","8,995","1,283","226","310,313","310,313","21,180","25,513","48,427","45,526","49,319","49,357","35,620","24,100","9,648","1,376","247","309,397","309,397","20,395","24,615","48,834","44,681","48,096","49,404","36,792","24,190","10,579","1,534","277","312,173","312,173","20,175","23,622","50,356","45,109","47,487","49,367","38,558","24,304","11,246","1,651","298","304,819","304,819","18,881","22,493","48,896","44,235","45,250","48,640","39,700","23,288","11,802","1,561","73"
"서울특별시 마포구 (1144000000)","379,892","379,892","30,663","32,846","57,870","70,027","66,103","53,937","35,435","23,077","8,438","1,217","279","374,915","374,915","29,057","31,659","58,115","67,697","64,994","53,207","35,926","23,594","9,106","1,284","276","375,077","375,077","27,746","30,948","59,561","66,963","63,669","53,898","36,862","24,096","9,675","1,364","295","374,035","374,035","26,560","29,727","60,735","65,646","62,468","54,170","38,044","24,340","10,495","1,532","318","371,890","371,890","24,899","28,372","61,904","64,486","60,995","54,255","39,559","24,309","11,096","1,669","346","368,905","368,905","23,661","27,705","61,353","63,597","59,819","54,962","41,205","23,378","11,521","1,632","72"
"서울특별시 양천구 (1147000000)","477,739","477,739","38,397","59,881","64,116","67,387","88,277","79,071","47,772","22,977","8,457","1,251","153","471,154","471,154","36,786","57,338","63,191","64,917","85,812","78,411","49,755","24,316","9,124","1,354","150","464,185","464,185","34,792","55,101","61,953","62,817","82,682","77,941","51,800","25,850","9,609","1,477","163","458,165","458,165","33,156","52,583","60,964","59,835","80,660","77,424","54,491","27,087","10,214","1,581","170","454,251","454,251","31,552","50,872","59,774","57,820","78,993","76,495","57,551","28,593","10,721","1,693","187","447,302","447,302","29,534","49,472","57,388","55,657","76,508","76,170","60,280","29,215","11,300","1,721","57"
"서울특별시 강서구 (1150000000)","595,485","595,485","50,711","53,550","85,425","107,459","96,023","93,154","64,553","31,106","11,529","1,774","201","601,691","601,691","49,225","51,725","87,795","108,193","96,605","92,194","67,811","33,797","12,232","1,919","195","596,949","596,949","46,680","49,481","87,277","106,818","94,297","91,098","70,312","35,756","12,928","2,093","209","591,796","591,796","43,968","47,442","87,418","103,078","93,276","89,067","73,580","37,550","13,896","2,303","218","580,185","580,185","39,560","44,694","86,991","99,062","90,888","86,196","76,340","38,915","14,778","2,522","239","574,315","574,315","36,646","43,517","85,652","97,831","89,266","84,408","79,382","39,405","15,603","2,523","82"
"서울특별시 구로구 (1153000000)","417,551","417,551","36,429","35,381","56,440","72,401","68,269","65,600","48,424","25,504","7,935","1,018","150","410,742","410,742","34,069","33,912","55,574","68,579","67,127","64,587","49,650","27,395","8,577","1,122","150","404,497","404,497","31,394","32,623","55,130","65,587","64,816","64,139","51,157","28,761","9,515","1,220","155","406,664","406,664","30,501","31,579","55,652","64,654","64,447","63,993","53,427","30,373","10,495","1,387","156","404,408","404,408","28,199","30,189","55,415","63,147","63,203","63,330","55,983","31,804","11,443","1,516","179","396,754","396,754","25,967","29,191","53,703","61,071","61,183","62,294","57,489","31,972","12,288","1,554","42"
"서울특별시 금천구 (1154500000)","235,386","235,386","15,943","19,417","34,506","36,817","38,379","42,149","27,871","14,988","4,571","598","147","235,154","235,154","15,450","18,265","34,793","36,582","37,358","42,106","28,856","16,031","4,925","648","140","233,917","233,917","14,657","16,916","35,587","36,215","35,429","42,099","29,976","16,797","5,341","749","151","232,810","232,810","13,746","15,805","36,241","35,666","34,191","41,350","31,511","17,440","5,917","775","168","231,733","231,733","12,548","14,669","37,127","35,481","32,903","40,292","33,119","18,059","6,479","879","177","230,811","230,811","11,676","13,955","37,202","36,570","31,638","39,348","34,564","17,974","6,976","878","30"
"서울특별시 영등포구 (1156000000)","370,613","370,613","28,442","29,116","53,949","66,187","59,720","58,350","41,411","23,668","8,336","1,206","228","368,550","368,550","27,376","27,633","54,346","65,512","58,709","57,455","42,263","24,756","9,005","1,261","234","367,778","367,778","26,289","26,126","55,544","66,210","56,635","56,851","43,146","25,715","9,659","1,354","249","367,678","367,678","25,447","24,859","56,655","65,986","55,524","56,168","44,526","26,266","10,510","1,468","269","379,480","379,480","25,836","24,278","59,076","69,245","56,438","56,931","47,072","27,380","11,339","1,598","287","376,837","376,837","24,756","23,640","58,693","69,403","55,441","56,262","48,250","26,867","11,950","1,522","53"
"서울특별시 동작구 (1159000000)","400,997","400,997","30,774","33,047","63,826","69,763","63,798","60,016","43,587","25,789","8,837","1,309","251","396,217","396,217","29,241","31,747","63,775","67,124","62,677","59,161","44,401","27,039","9,432","1,376","244","396,203","396,203","27,883","30,460","65,335","65,942","61,304","59,291","45,875","28,203","10,119","1,524","267","395,963","395,963","26,596","29,451","66,382","64,161","60,484","59,258","47,476","29,106","11,074","1,688","287","391,220","391,220","24,564","27,821","66,545","62,096","58,912","58,343","49,162","29,755","11,895","1,814","313","385,483","385,483","22,992","26,967","64,882","60,826","57,207","58,073","50,478","29,582","12,617","1,775","84"
"서울특별시 관악구 (1162000000)","506,851","506,851","31,654","36,374","97,145","95,116","77,193","71,901","55,034","31,911","8,984","1,270","269","503,297","503,297","29,533","34,365","99,790","92,554","75,338","70,941","55,604","33,696","9,854","1,349","273","501,957","501,957","27,165","32,559","104,460","91,028","72,628","70,327","56,158","35,098","10,782","1,460","292","500,094","500,094","25,097","30,700","107,387","88,858","70,869","69,536","57,543","36,211","12,006","1,582","305","495,060","495,060","22,372","28,600","109,135","86,781","68,484","68,052","59,243","37,176","13,141","1,753","323","485,699","485,699","19,843","27,057","108,154","85,556","65,543","67,025","59,970","36,640","14,186","1,664","61"
"서울특별시 서초구 (1165000000)","447,192","447,192","41,440","49,171","59,272","74,799","82,579","63,377","44,217","22,900","7,772","1,472","193","441,102","441,102","39,403","47,997","58,467","71,530","81,817","62,623","44,999","24,314","8,225","1,546","181","433,951","433,951","37,467","46,932","57,288","69,032","79,877","62,233","45,391","25,316","8,581","1,647","187","430,826","430,826","36,001","45,963","56,431","66,802","78,568","62,779","46,605","26,507","9,188","1,774","208","425,126","425,126","33,851","45,329","55,091","63,224","77,355","63,197","47,797","27,434","9,787","1,829","232","412,279","412,279","31,699","44,477","52,009","59,545","75,078","62,579","48,095","26,738","10,219","1,747","93"
"서울특별시 강남구 (1168000000)","567,115","567,115","43,474","65,096","81,462","96,435","103,591","82,609","55,525","27,469","9,385","1,832","237","556,164","556,164","41,417","62,953","79,392","91,645","102,093","80,983","56,426","29,235","9,861","1,925","234","542,364","542,364","39,242","60,965","76,468","87,691","99,471","79,078","56,103","30,741","10,369","1,992","244","545,169","545,169","38,704","60,451","75,966","85,623","100,004","80,246","57,810","32,853","11,053","2,188","271","539,231","539,231","36,766","59,134","73,940","81,838","99,266","80,350","59,423","34,167","11,813","2,238","296","533,042","533,042","34,726","59,141","70,774","77,662","97,729","81,956","61,527","34,567","12,600","2,254","106"
"서울특별시 송파구 (1171000000)","657,831","657,831","55,694","67,123","92,874","113,369","112,606","103,708","68,603","30,814","10,972","1,846","222","664,496","664,496","55,365","65,479","94,047","114,303","112,352","103,096","72,500","33,408","11,688","2,032","226","666,635","666,635","53,769","63,324","94,854","114,426","109,965","103,577","76,032","35,838","12,416","2,186","248","675,961","675,961","53,634","61,673","96,009","114,527","110,651","104,449","80,598","38,429","13,352","2,369","270","667,960","667,960","50,744","59,068","94,119","110,590","109,299","102,566","84,184","40,440","14,132","2,519","299","658,338","658,338","48,373","57,635","90,422","106,630","107,209","101,614","87,536","41,260","15,002","2,567","90"
