사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
Apr-22,4호선,422,동대문역사문화공원(DDP),339085,310589,52349,46549
Apr-22,4호선,423,충무로,603262,623772,106666,107800
Apr-22,4호선,424,명동,478795,503749,56485,57824
Apr-22,4호선,425,회현(남대문시장),468821,510815,176744,177255
Apr-22,4호선,426,서울역,246528,412217,34195,43252
Apr-22,4호선,427,숙대입구(갈월),327100,316290,48249,45036
Apr-22,4호선,428,삼각지,112465,134496,21288,22315
Apr-22,4호선,429,신용산,370668,393932,46466,46775
Apr-22,4호선,430,이촌(국립중앙박물관),168167,190553,43325,45094
Apr-22,4호선,431,동작(현충원),34795,41476,17771,18130
Apr-22,4호선,432,총신대입구(이수),377071,411516,139135,145397
Apr-22,4호선,433,사당,636078,527546,84626,81971
Apr-22,4호선,434,남태령,27358,20108,8363,7687
Apr-22,경부선,1001,서울역,187475,57016,11327,2537
Apr-22,경부선,1002,남영,215861,230204,32829,34273
Apr-22,경부선,1003,용산,855781,871906,111947,111365
Apr-22,경부선,1004,노량진,204131,206203,38176,35789
Apr-22,경부선,1005,대방,282430,289257,64466,64473
Apr-22,경부선,1006,영등포,874553,903366,223518,222563
Apr-22,경부선,1007,신도림,88304,87547,25087,28184
Apr-22,경부선,1032,신길,204772,167585,43281,39902
Apr-22,경부선,1701,구로,403351,422599,89237,86140
Apr-22,경부선,1702,가산디지털단지,415242,488914,33524,37619
Apr-22,경부선,1703,금천구청,248547,246428,75661,77019
Apr-22,경부선,1704,석수,221381,197476,46013,44489
Apr-22,경부선,1705,관악,159896,146337,49688,47249
Apr-22,경부선,1706,안양,602176,587841,106285,110051
Apr-22,경부선,1707,명학,221996,217392,39996,39023
Apr-22,경부선,1708,금정,627115,638787,111404,112599
Apr-22,경부선,1709,군포,168924,164648,33633,32790
Apr-22,경부선,1710,의왕,211666,208850,41664,41312
Apr-22,경부선,1711,성균관대,370038,364283,47949,47840
Apr-22,경부선,1712,화서,185366,177952,40380,39461
Apr-22,경부선,1713,수원,949799,1017516,130619,133626
Apr-22,경부선,1714,독산,411510,421267,60516,61217
Apr-22,경부선,1715,세류,71657,65472,14600,14253
Apr-22,경부선,1716,병점,377141,379490,60870,60620
Apr-22,경부선,1717,세마,66380,61856,14433,13411
Apr-22,경부선,1718,오산대,96275,88444,17579,16747
Apr-22,경부선,1719,오산,254671,251234,43838,44700
Apr-22,경부선,1720,진위,40113,33960,8284,7869
Apr-22,경부선,1721,송탄,117264,112364,19773,18872
Apr-22,경부선,1722,서정리,188889,176042,30109,29453
Apr-22,경부선,1723,평택지제,92907,87907,11113,10703
Apr-22,경부선,1724,평택,333228,333779,59323,58276
Apr-22,경부선,1725,성환,128325,123398,18885,18897
Apr-22,경부선,1726,직산,20080,19592,4693,4544
Apr-22,경부선,1727,두정,185169,195355,21126,21110
Apr-22,경부선,1728,천안,153975,147975,46903,47362
Apr-22,경부선,1729,당정,151508,142374,29361,28075
Apr-22,경부선,1749,서동탄,31116,28663,7262,6726
Apr-22,경부선,1750,광명,87411,73956,9397,8789
Apr-22,경인선,1801,개봉,445860,414013,141018,142821
Apr-22,경인선,1802,오류동,246731,220720,85097,83010
Apr-22,경인선,1803,역곡,630180,611001,142833,145349
Apr-22,경인선,1804,부천,732963,737548,191085,193388
Apr-22,경인선,1805,송내,621769,618911,113011,111822
Apr-22,경인선,1806,부평,711606,778428,126624,128884
Apr-22,경인선,1807,백운,142043,137987,52790,53160
Apr-22,경인선,1808,동암,322144,323534,87491,88557
Apr-22,경인선,1809,주안,466747,420748,81307,73175
Apr-22,경인선,1810,제물포,242446,226422,59072,58861
Apr-22,경인선,1811,동인천,288765,275122,110128,106982
Apr-22,경인선,1812,인천,82802,62149,42064,38758
Apr-22,경인선,1813,구일,169899,168946,43647,42950
Apr-22,경인선,1814,소사,196699,187187,61077,59374
Apr-22,경인선,1815,부개,179080,164108,59101,57920
Apr-22,경인선,1816,간석,123122,111075,40760,39052
Apr-22,경인선,1817,도원,62557,60448,27161,28668
Apr-22,경인선,1821,온수(성공회대입구),149182,139200,45313,44155
Apr-22,경인선,1822,중동,194204,177601,64535,63483
Apr-22,경인선,1823,도화,81463,72928,36359,35041
Apr-22,경원선,1008,이촌(국립중앙박물관),81637,58668,24367,20874
Apr-22,경원선,1009,서빙고,42544,40703,14962,13864
Apr-22,경원선,1010,한남,81583,79069,26130,24546
Apr-22,경원선,1011,옥수,1420,959,133,95
Apr-22,경원선,1012,응봉,42021,39949,19085,18456
Apr-22,경원선,1013,왕십리(성동구청),344913,381068,56957,61801
Apr-22,경원선,1014,청량리(서울시립대입구),313617,322955,135933,143820
